"Name","distance","embedding_size","final/%rmse_test","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","learning_rate","len_sequence","loss","model","multiplicity","num_test_sequences","num_train_sequences","num_val_sequences","scaling","seed","weight_decay","loss/train","loss/val","metrics/%rmse_val","metrics/mape_val","final/%rmse_train","final/%rmse_val","final/loss_test","final/loss_train","final/loss_val","final/mape_test","final/mape_train","final/mape_val","final/radius","final/scaling","train time"
"cnn_hyperbolic_128","hyperbolic","128","0.6497254936138108","finished","-","eitan-turok","","2023-05-07T16:17:57.000Z","2645","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","true","46","0","0.000016558714847302656","0.00008792271007104034","0.9376711047645668","0.0425703841553192","0.4469678881297424","0.8480350190456127","0.000042214321705171006","0.00001997802930191619","0.00007191633935276927","0.03931217435105668","0.03377438792934665","0.042779320454356645","0.11182587593793868","1.117806911468506","2618.411191225052"
"cnn_hyperbolic_128","hyperbolic","128","0.6583068659901756","finished","-","eitan-turok","","2023-05-07T15:25:17.000Z","3150","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","true","45","0","0.00001524842393871052","0.0000864280576257957","0.9296669168352484","0.04299251105899762","0.43774179806695435","0.8375538950271648","0.0000433367929809807","0.000019161788177489022","0.00007014965270751749","0.04040254299705994","0.03267251627495536","0.04186642021166556","0.11269636452198029","1.1091431379318235","3121.7872610092163"
"cnn_hyperbolic_128","hyperbolic","128","0.7071765291682529","finished","-","eitan-turok","","2023-05-07T14:55:09.000Z","1798","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","true","44","0","0.000018752347553687855","0.0000980865172298056","0.9903863752586948","0.04436211318680734","0.5512103142512029","0.8890728497967335","0.00005000986434064568","0.000030383281053690988","0.0000790450532245685","0.04473702761950909","0.04315184754249338","0.04586797854966587","0.10782240331172945","1.137576460838318","1770.4280557632446"
"cnn_hyperbolic_128","hyperbolic","128","0.6376997189759882","finished","-","eitan-turok","","2023-05-07T13:46:02.000Z","4137","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","true","43","0","0.000014452160666235602","0.00005232765232894871","0.7233785477116992","0.03861057494324867","0.4059739277943737","0.692861342646876","0.00004066609315820543","0.000016481483004879138","0.00004800568401344318","0.0389314894241508","0.02993870735071696","0.038745253031151464","0.11416002362966536","1.0996524095535278","4108.455496549606"
"cnn_hyperbolic_64","hyperbolic","64","0.6886759345540591","finished","-","eitan-turok","","2023-05-07T13:22:15.000Z","1420","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","true","46","0","0.000020099249928841947","0.0000740547448742401","0.8605506659938164","0.04174390660241397","0.5584234768085555","0.7917884965002989","0.000047427454283390655","0.00003118367794509554","0.0000626929023190204","0.044116910893045015","0.04100132790788428","0.04525996820041628","0.10971099883317947","1.1271404027938845","1397.6597850322723"
"cnn_hyperbolic_64","hyperbolic","64","0.7066935583788857","finished","-","eitan-turok","","2023-05-07T12:57:41.000Z","1467","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","true","45","0","0.000020657296562733666","0.00008999789047238389","0.948672179798606","0.04241701658777517","0.5529925195385487","0.8364895999241865","0.00004994157854542115","0.000030580072666559214","0.00006997148507813255","0.04357960894837209","0.04025361089369693","0.04595709277975439","0.10909702628850936","1.138978362083435","1446.7229726314545"
"cnn_hyperbolic_64","hyperbolic","64","0.7174738715937816","finished","-","eitan-turok","","2023-05-07T12:27:57.000Z","1777","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","true","44","0","0.000017579936823530225","0.00007646721860363308","0.8744553653768331","0.041092230633954806","0.48399780180094654","0.7918933210596563","0.000051476875641977025","0.000023425387214814832","0.00006270950319388918","0.04305397542031019","0.03494874131679535","0.04241796672494724","0.11232949793338776","1.1121718883514404","1755.674148797989"
"cnn_hyperbolic_64","hyperbolic","64","0.6985900757184055","finished","-","eitan-turok","","2023-05-07T11:49:48.000Z","2282","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","true","43","0","0.00001786517128975784","0.00007154493766126571","0.8458424064875544","0.04319577989403647","0.47330927686539337","0.8149279092313156","0.00004880280938922475","0.00002240216715668416","0.00006641074972441232","0.04114152186085581","0.03468975324212731","0.04375113127659066","0.11121739447116852","1.1099618673324585","2260.5291368961334"
"cnn_hyperbolic_32","hyperbolic","32","0.8231521105746167","finished","-","eitan-turok","","2023-05-07T11:17:08.000Z","1950","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","true","46","0","0.0000316190181716569","0.00008927598709976677","0.9448597096911624","0.04835039052698347","0.6866713666877002","0.855202910197197","0.00006775793971434461","0.00004715175658287541","0.00007313720176097551","0.048168887119298544","0.04666437545147809","0.04824776520783251","0.10961037874221802","1.10647714138031","1922.4067449569704"
"cnn_hyperbolic_32","hyperbolic","32","0.7493276115152855","finished","-","eitan-turok","","2023-05-07T10:15:01.000Z","3717","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","true","45","0","0.00002666000059300084","0.0000933000845940445","0.965919689177338","0.04593688367292134","0.5595346228227591","0.8408396578491714","0.00005614918693792027","0.000031307899413740734","0.00007070113302119113","0.04188673066412842","0.03687315311602184","0.04547578258797376","0.119280606508255","1.0413247346878052","3689.0013258457184"
